"Date","Price","Open","High","Low","Vol.","Change %"
"02/22/2022","1,609.46","1,622.39","1,630.72","1,601.24","","-1.16%"
"02/21/2022","1,628.37","1,632.36","1,637.09","1,625.79","","-0.54%"
"02/18/2022","1,637.25","1,655.24","1,658.83","1,631.70","","-1.28%"
"02/17/2022","1,658.49","1,702.55","1,706.80","1,656.69","","-2.86%"
"02/16/2022","1,707.28","1,712.70","1,715.75","1,691.22","","-0.02%"
"02/15/2022","1,707.58","1,666.23","1,709.11","1,665.61","","2.40%"
"02/14/2022","1,667.50","1,685.14","1,687.36","1,661.20","","-1.80%"
"02/11/2022","1,698.00","1,729.69","1,735.26","1,692.13","","-2.10%"
"02/10/2022","1,734.43","1,766.46","1,767.71","1,727.63","","-1.65%"
"02/09/2022","1,763.47","1,721.50","1,763.64","1,720.50","","2.77%"
"02/08/2022","1,716.02","1,699.62","1,718.59","1,691.51","","0.98%"
"02/07/2022","1,699.30","1,698.56","1,717.22","1,695.85","","-0.13%"
"02/04/2022","1,701.47","1,687.38","1,709.94","1,678.27","","1.16%"
"02/03/2022","1,681.98","1,723.33","1,725.05","1,680.07","","-2.87%"
"02/02/2022","1,731.63","1,738.61","1,755.53","1,722.44","","0.14%"
"02/01/2022","1,729.15","1,716.35","1,731.09","1,703.37","","0.99%"
"01/31/2022","1,712.15","1,661.29","1,713.79","1,661.00","","3.54%"
"01/28/2022","1,653.62","1,628.93","1,653.63","1,607.46","","1.81%"
"01/27/2022","1,624.16","1,648.81","1,663.56","1,621.21","","-2.49%"
"01/26/2022","1,665.69","1,670.61","1,708.85","1,655.13","","-0.29%"
"01/25/2022","1,670.61","1,707.10","1,709.83","1,661.54","","-2.81%"
"01/24/2022","1,718.83","1,718.46","1,720.32","1,652.21","","-0.29%"
"01/21/2022","1,723.85","1,754.37","1,757.13","1,723.51","","-2.48%"
"01/20/2022","1,767.61","1,776.50","1,811.21","1,763.26","","-0.40%"
"01/19/2022","1,774.74","1,787.19","1,805.73","1,774.67","","-0.92%"
"01/18/2022","1,791.27","1,824.52","1,828.83","1,789.32","","-1.45%"
"01/17/2022","1,817.59","1,811.30","1,818.16","1,810.64","","0.27%"
"01/14/2022","1,812.69","1,820.28","1,821.97","1,791.84","","-0.65%"
"01/13/2022","1,824.52","1,858.14","1,867.05","1,821.93","","-1.77%"
"01/12/2022","1,857.33","1,860.16","1,879.57","1,851.84","","0.48%"
"01/11/2022","1,848.41","1,816.65","1,851.41","1,813.65","","1.49%"
"01/10/2022","1,821.25","1,835.23","1,837.09","1,785.01","","-0.73%"
"01/07/2022","1,834.60","1,854.61","1,866.77","1,830.57","","-1.14%"
"01/06/2022","1,855.72","1,859.96","1,869.56","1,837.05","","-0.90%"
"01/05/2022","1,872.60","1,923.37","1,926.53","1,870.17","","-2.66%"
"01/04/2022","1,923.85","1,940.79","1,944.50","1,906.21","","-0.62%"
"01/03/2022","1,935.76","1,927.08","1,937.14","1,918.79","","0.39%"
"12/31/2021","1,928.32","1,936.97","1,940.53","1,927.81","","-0.46%"
"12/30/2021","1,937.15","1,933.36","1,949.19","1,930.43","","-0.04%"
"12/29/2021","1,937.93","1,943.77","1,946.01","1,932.99","","-0.35%"
"12/28/2021","1,944.77","1,953.70","1,959.80","1,941.20","","-0.15%"
"12/27/2021","1,947.75","1,930.60","1,948.42","1,929.78","","0.72%"
"12/24/2021","1,933.89","1,933.60","1,934.91","1,932.97","","0.07%"
"12/23/2021","1,932.53","1,920.08","1,936.91","1,919.77","","0.73%"
"12/22/2021","1,918.44","1,900.47","1,919.83","1,897.58","","1.12%"
"12/21/2021","1,897.18","1,859.59","1,898.03","1,858.96","","2.35%"
"12/20/2021","1,853.65","1,878.82","1,880.04","1,844.52","","-1.78%"
"12/17/2021","1,887.21","1,877.21","1,897.18","1,856.93","","0.29%"
"12/16/2021","1,881.69","1,920.92","1,934.20","1,878.00","","-1.77%"
"12/15/2021","1,915.61","1,884.44","1,916.99","1,870.60","","1.84%"
"12/14/2021","1,881.02","1,906.04","1,907.45","1,867.15","","-1.56%"
"12/13/2021","1,910.92","1,923.41","1,925.17","1,900.09","","-0.60%"
"12/10/2021","1,922.36","1,924.50","1,939.11","1,915.08","","-0.11%"
"12/09/2021","1,924.48","1,946.30","1,956.22","1,922.68","","-1.18%"
"12/08/2021","1,947.38","1,936.75","1,950.32","1,921.00","","1.03%"
"12/07/2021","1,927.44","1,879.71","1,936.18","1,876.90","","3.01%"
"12/06/2021","1,871.07","1,863.34","1,876.94","1,843.50","","0.08%"
"12/03/2021","1,869.58","1,901.53","1,910.00","1,855.19","","-1.29%"
"12/02/2021","1,894.06","1,881.36","1,904.02","1,874.45","","0.47%"
"12/01/2021","1,885.29","1,900.90","1,943.66","1,883.89","","-0.58%"
"11/30/2021","1,896.28","1,928.55","1,932.13","1,888.45","","-1.54%"
"11/29/2021","1,925.98","1,902.60","1,931.33","1,899.77","","0.88%"
"11/26/2021","1,909.24","1,936.31","1,938.90","1,903.57","","-1.76%"
"11/25/2021","1,943.43","1,942.23","1,944.22","1,940.64","","-0.02%"
"11/24/2021","1,943.79","1,941.50","1,944.56","1,915.34","","-0.10%"
"11/23/2021","1,945.69","1,969.62","1,971.78","1,930.21","","-1.35%"
"11/22/2021","1,972.31","1,998.87","2,001.74","1,965.82","","-1.25%"
"11/19/2021","1,997.30","2,000.03","2,007.15","1,994.63","","0.06%"
"11/18/2021","1,996.09","2,008.66","2,010.19","1,986.62","","-0.42%"
"11/17/2021","2,004.47","2,016.26","2,020.21","2,004.31","","-0.55%"
