time,low,high,open,close,volume
2020-10-20,363.01,380.9,379.53,368.81,84940.26982272
2020-10-21,368.06,402.62,368.81,391.53,249849.80700571
2020-10-22,391.33,421.47,391.36,414.7,182333.508395
2020-10-23,401.51,419.48,414.64,409.52,124844.52058112
2020-10-24,407.4,417.0,409.55,412.58,68349.19907782
2020-10-25,402.92,417.86,412.58,406.46,53762.84086586
2020-10-26,382.21,411.47,406.32,393.12,129676.34185848
2020-10-27,390.35,411.77,393.07,404.55,108903.27558482
2020-10-28,380.5,409.52,404.56,388.63,128255.13819075
2020-10-29,380.75,394.0,388.59,387.6,104421.73544657
2020-10-30,373.4,392.16,387.49,382.77,107710.17276225
2020-10-31,380.76,394.0,382.77,386.74,76755.21020838
2020-11-01,385.09,397.65,386.72,396.91,49385.47176829
2020-11-02,378.36,404.57,396.91,383.33,128275.51088227
2020-11-03,370.5,390.35,383.33,388.32,105339.73002582
2020-11-04,376.64,409.0,388.33,403.18,214751.18285099
2020-11-05,396.43,421.25,403.19,417.17,248936.20591844
2020-11-06,415.57,458.92,417.29,456.65,357787.28499666
2020-11-07,423.0,468.98,456.69,435.73,297289.78479728
2020-11-08,432.65,460.57,435.59,454.61,111199.12192081
2020-11-09,433.83,460.0,454.61,444.81,171387.94473541
2020-11-10,439.36,455.51,444.84,450.89,132863.6764641
2020-11-11,449.95,476.8,450.89,463.79,195694.06578762
2020-11-12,452.07,470.56,463.75,462.98,180116.97555794
2020-11-13,457.64,478.31,462.91,477.14,134796.05936368
2020-11-14,452.17,478.0,477.15,461.16,114594.78378366
2020-11-15,439.77,463.24,461.21,448.58,89217.75628557
2020-11-16,445.91,466.21,448.6,460.85,112980.26100088
2020-11-17,460.05,485.0,460.87,482.68,196041.73514216
2020-11-18,456.5,495.68,482.75,478.96,296492.09128068
2020-11-19,465.18,480.99,479.0,471.92,131594.48266392
2020-11-20,471.07,514.73,471.92,510.43,296509.77452923
2020-11-21,502.82,554.28,510.6,553.07,287728.12781004
2020-11-22,511.16,581.8,553.06,560.82,403902.15612966
2020-11-23,550.0,611.43,560.78,609.26,444789.07944749
2020-11-24,587.25,623.22,609.26,605.45,387478.59472708
2020-11-25,554.0,606.49,605.45,568.79,255508.1788265
2020-11-26,480.08,577.0,569.19,520.34,614152.35686943
2020-11-27,493.51,531.41,520.35,519.07,199205.09175665
2020-11-28,505.01,548.83,519.04,538.11,166450.43752162
2020-11-29,531.0,577.55,537.97,576.76,139940.81576302
2020-11-30,571.11,617.0,576.9,617.0,313418.9868296
2020-12-01,563.01,636.53,617.0,586.03,373179.79775575
2020-12-02,575.08,604.96,585.87,597.35,136242.16440789
2020-12-03,586.11,624.57,597.03,616.65,168346.30401374
2020-12-04,566.0,620.56,616.46,567.6,195480.70629191
2020-12-05,561.15,597.88,567.76,597.29,95956.77136123
2020-12-06,583.31,607.46,597.29,601.95,101652.72670304
2020-12-07,584.54,603.4,601.97,591.47,79196.58540342
2020-12-08,548.12,595.47,591.53,554.79,173888.79056355
2020-12-09,530.32,578.67,554.8,573.38,246145.836363
2020-12-10,547.83,575.62,573.26,559.45,117320.21056794
2020-12-11,535.5,560.62,559.33,544.23,173696.26025699
2020-12-12,543.22,574.33,544.51,568.64,101618.14658727
2020-12-13,563.79,595.21,568.64,590.75,105159.23425191
2020-12-14,575.58,591.71,590.45,586.39,103488.31631148
2020-12-15,579.15,597.04,586.4,589.08,95567.38638129
2020-12-16,581.21,639.58,589.08,637.98,261818.28860235
2020-12-17,626.79,677.05,637.91,643.37,430253.08270837
2020-12-18,629.59,664.46,643.26,654.66,177136.01903836
2020-12-19,646.54,672.06,654.66,658.96,186815.55508677
2020-12-20,621.46,661.4,658.8,638.4,164504.33582055
2020-12-21,596.9,648.35,638.19,608.07,267136.10267039
2020-12-22,587.54,638.5,608.07,636.82,207333.55726725
2020-12-23,551.45,638.75,636.73,585.11,328147.46529268
2020-12-24,565.61,614.99,585.37,612.27,213890.61477265
2020-12-25,604.26,633.97,612.25,626.75,158871.75321373
2020-12-26,615.22,652.7,626.71,636.52,195895.6773533
2020-12-27,625.01,714.99,636.85,684.12,436385.25431205
2020-12-28,680.9,747.0,684.11,729.7,397946.53045409
2020-12-29,688.0,739.66,729.65,731.76,295088.40177823
2020-12-30,717.0,759.0,731.79,752.86,238441.21767564
2020-12-31,724.0,755.9,752.87,737.67,217610.26070386
2021-01-01,717.1,750.0,737.89,730.99,198060.44209411
2021-01-02,715.22,789.21,730.97,775.3,368899.31941969
2021-01-03,770.0,1015.14,775.29,980.44,858743.81908511
2021-01-04,886.33,1168.99,980.44,1042.38,1103882.9026854
2021-01-05,975.0,1136.93,1042.24,1103.73,858495.88816745
2021-01-06,1058.32,1215.98,1103.71,1212.02,821084.91284462
2021-01-07,1140.0,1291.94,1212.68,1227.34,661416.03292889
2021-01-08,1063.18,1275.0,1227.55,1217.35,781425.78426996
2021-01-09,1172.86,1310.0,1217.31,1281.45,434123.02634182
2021-01-10,1153.0,1350.88,1281.25,1255.13,670103.5931583
2021-01-11,905.0,1260.24,1255.1,1088.79,1556217.07756248
2021-01-12,1006.83,1150.0,1088.55,1049.79,656376.70350396
2021-01-13,980.0,1137.75,1050.46,1130.8,504920.57439418
2021-01-14,1087.05,1246.99,1130.79,1231.32,438467.28987015
2021-01-15,1065.0,1255.59,1231.59,1168.1,578841.8829192
2021-01-16,1152.3,1294.0,1169.04,1227.14,422140.39314774
2021-01-17,1165.78,1268.83,1227.76,1232.99,295103.60231119
2021-01-18,1181.9,1261.0,1232.6,1258.48,287749.94730348
2021-01-19,1252.01,1440.0,1258.55,1368.04,709702.99933138
2021-01-20,1234.01,1408.5,1367.7,1376.88,596370.07168489
2021-01-21,1081.0,1390.0,1377.15,1110.62,789194.34468025
2021-01-22,1039.62,1275.99,1110.61,1233.6,758560.99547401
2021-01-23,1196.74,1272.0,1233.42,1234.55,269855.02080844
2021-01-24,1221.66,1401.92,1234.47,1394.0,434746.40508943
2021-01-25,1293.65,1477.3,1394.04,1317.97,627535.52793717
2021-01-26,1245.0,1378.12,1317.98,1367.98,484756.90659865
2021-01-27,1206.05,1375.91,1367.97,1240.96,546037.67685749
2021-01-28,1220.08,1363.27,1240.62,1333.19,361803.16655087
2021-01-29,1286.56,1442.88,1333.61,1379.87,629545.82992845
2021-01-30,1327.0,1408.97,1380.04,1380.0,283799.50273321
2021-01-31,1283.0,1382.0,1380.0,1313.94,216853.04918505
