time,low,high,open,close,volume
2020-04-05,66.022,68.867,68.681,66.93,5106.87062295
2020-04-06,66.912,73.25,67.11,73.25,13080.17953712
2020-04-07,69.973,76.998,73.381,72.087,20619.54373109
2020-04-08,71.094,76.795,72.084,75.615,7540.79074409
2020-04-09,74.243,84.42,75.714,83.057,28661.00099662
2020-04-10,70.06,83.491,83.052,74.552,21370.74160115
2020-04-11,73.064,77.842,74.181,74.993,10146.84038511
2020-04-12,73.05,78.739,75.212,74.201,6863.99786937
2020-04-13,70.21,74.216,74.216,73.479,8140.19509295
2020-04-14,72.096,74.787,73.555,72.354,4641.83359044
2020-04-15,69.357,73.792,72.185,69.768,7058.69371203
2020-04-16,67.0,77.782,69.453,76.501,11992.93128487
2020-04-17,74.689,77.861,76.965,76.571,4896.41772697
2020-04-18,76.417,80.701,76.626,80.207,10437.7843111
2020-04-19,77.77,83.726,80.228,80.319,20111.57362956
2020-04-20,73.116,82.82,80.419,74.103,17953.92979134
2020-04-21,73.026,76.23,74.278,74.636,8854.55467012
2020-04-22,74.218,82.0,74.769,80.848,13937.05671783
2020-04-23,79.074,85.0,80.999,81.218,13934.0160417
2020-04-24,80.601,82.998,81.461,81.347,8074.2572961
2020-04-25,80.5,88.177,81.437,85.75,11366.71821653
2020-04-26,81.746,87.703,85.85,84.135,15491.55321175
2020-04-27,80.5,84.715,84.248,82.989,11151.19535618
2020-04-28,79.803,83.444,83.009,82.444,9932.21430683
2020-04-29,82.33,86.5,82.393,85.459,19839.75155845
2020-04-30,80.243,89.333,85.431,80.835,19147.74713424
2020-05-01,81.143,83.999,81.143,83.123,6735.95065533
2020-05-02,81.73,83.832,82.917,83.317,4105.18302762
2020-05-03,79.537,84.134,83.407,81.133,7519.72880481
2020-05-04,74.949,81.432,81.134,79.784,10933.97419467
2020-05-05,78.3,81.0,79.902,79.438,4439.3865671
2020-05-06,77.001,81.0,79.199,77.001,7549.99877029
2020-05-07,76.54,80.113,77.0,78.979,10093.39345614
2020-05-08,77.415,83.267,78.909,81.871,12908.81221283
2020-05-09,79.032,82.515,81.787,79.632,9674.15020844
2020-05-10,68.045,79.551,79.501,72.4,20659.0086007
2020-05-11,66.512,73.732,72.407,69.977,13438.53975315
2020-05-12,69.561,75.185,69.789,73.322,8799.61028246
2020-05-13,72.334,75.219,73.279,73.837,7834.09573648
2020-05-14,73.356,76.0,73.837,74.707,7061.77782464
2020-05-15,71.764,75.026,74.778,72.298,6998.01678604
2020-05-16,72.129,74.413,72.186,73.671,4584.3978448
2020-05-17,73.4,77.0,73.574,74.92,9375.75208186
2020-05-18,74.485,78.445,74.956,76.01,11721.15492432
2020-05-19,74.214,77.27,76.01,77.138,7908.27564988
2020-05-20,75.0,78.492,77.004,78.349,8932.25067649
2020-05-21,70.855,78.35,78.209,72.814,10447.5901177
2020-05-22,72.321,75.536,72.964,74.864,8184.24633546
2020-05-23,73.472,75.76,75.02,73.997,3267.92874412
2020-05-24,71.69,75.499,73.891,71.74,5129.28639579
2020-05-25,71.227,73.686,71.605,73.626,6104.90745494
2020-05-26,71.242,73.788,73.46,72.752,10507.81036399
2020-05-27,72.412,75.0,72.752,73.631,9061.62900405
2020-05-28,72.419,75.295,73.492,75.134,5335.35976258
2020-05-29,73.332,75.536,75.112,74.235,6918.21561118
2020-05-30,73.588,79.893,74.169,79.074,12325.48988192
2020-05-31,75.746,80.707,79.087,76.252,7764.74000939
2020-06-01,75.625,80.999,76.198,79.891,8257.13146041
2020-06-02,76.0,82.134,79.948,78.267,17775.97774631
2020-06-03,76.778,78.682,78.077,78.23,6807.2501503
2020-06-04,76.741,79.0,78.324,78.616,6718.68931526
2020-06-05,77.557,79.709,78.553,77.878,6390.98152237
2020-06-06,77.0,79.0,77.833,78.376,4446.16930177
2020-06-07,75.773,78.818,78.321,78.036,3843.38708192
2020-06-08,77.0,78.311,78.0,77.785,4409.92688018
2020-06-09,76.87,78.1,77.785,77.478,4252.49954364
2020-06-10,77.1,78.448,77.571,78.3,5197.82157321
2020-06-11,71.83,78.801,78.361,71.83,9037.00295302
2020-06-12,71.221,74.787,71.993,73.38,5917.28491094
2020-06-13,72.567,74.459,73.31,73.96,3740.26751561
2020-06-14,72.06,74.174,74.075,72.449,4262.59425072
2020-06-15,68.101,72.61,72.437,71.997,8623.98001283
2020-06-16,71.35,73.119,71.984,72.563,3517.44963248
2020-06-17,70.957,73.277,72.573,72.205,4045.17106329
2020-06-18,70.63,72.483,72.205,71.405,3139.44551944
2020-06-19,69.86,71.38,71.38,70.05,5092.92379789
2020-06-20,69.224,71.181,70.051,71.031,3484.50306629
2020-06-21,69.893,71.2,70.926,70.102,2936.10143081
2020-06-22,70.097,72.755,70.102,72.371,3416.77839132
2020-06-23,71.352,77.695,72.241,74.091,7407.72052408
2020-06-24,70.751,75.46,74.116,72.344,11081.51083892
2020-06-25,70.1,72.296,72.231,70.994,8697.08658474
2020-06-26,69.64,71.32,70.958,70.648,3795.40769644
2020-06-27,65.0,71.08,70.627,66.776,4974.64973395
2020-06-28,65.828,68.49,66.695,67.625,3464.81275998
2020-06-29,66.733,69.197,67.6,68.971,7214.45372255
2020-06-30,67.54,69.09,68.977,68.044,3562.59561729
2020-07-01,67.325,69.123,67.922,68.328,3494.83037409
2020-07-02,65.52,68.551,68.328,66.56,4660.39342384
2020-07-03,65.956,67.0,66.532,66.472,5186.3756651
2020-07-04,66.206,68.201,66.308,67.624,3300.0661818
2020-07-05,66.01,68.046,67.745,67.355,2588.34655114
2020-07-06,66.993,70.707,67.355,70.242,7251.03252283
2020-07-07,69.042,70.885,70.359,69.905,2810.52555495
2020-07-08,69.414,73.223,69.938,72.796,6989.58673739
2020-07-09,70.444,74.0,72.549,71.465,6952.52598871
2020-07-10,70.03,71.895,71.634,71.831,2696.18771539
2020-07-11,71.289,72.925,71.832,72.674,4471.3253195
